New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,14454,,"1,640","1,235",165,95,55,90,"2,228","1,808",132,"1,260"
,14462,,125,85,15,10,5,10,158,115,13,90
,14466,,365,230,75,20,10,30,474,325,27,240
,14470,,"1,855","1,210",350,115,60,120,"2,390","1,687",151,"1,240"
,14476,,515,360,75,25,20,35,678,514,40,375
,14477,,415,275,65,25,20,30,540,387,37,280
,14479,,40,25,5,5,0,5,48,31,7,30
,14480,,235,165,35,20,5,10,305,234,24,165
,14481,,430,310,65,25,10,20,550,426,34,310
,14482,,"1,870","1,290",280,120,60,120,"2,382","1,775",158,"1,365"
,14485,,860,635,115,50,20,40,"1,145",892,63,650
,14486,,70,55,5,5,5,0,99,77,9,55
,14487,,"1,200",890,155,70,35,50,"1,639","1,284",92,925
,14508,,15,15,0,0,0,0,20,17,0,15
,14510,,"1,320",800,295,60,35,130,"1,516","1,022",67,815
,14517,,730,495,120,45,20,50,903,659,57,500
,14525,,610,425,85,35,20,45,771,582,42,445
,14530,,"1,275",900,195,85,30,65,"1,554","1,158",113,940
,14533,,330,230,45,15,15,25,414,313,19,235
,14536,,160,105,35,5,5,10,175,124,6,105
,14539,,100,70,15,5,0,10,137,104,9,70
,14545,,30,15,10,5,0,0,43,25,4,25
,14549,,80,50,15,5,5,5,91,65,2,55
,14550,,380,265,60,20,10,25,450,336,24,265
,14557,,40,25,5,0,5,5,53,38,0,25
,14569,,"1,620","1,070",270,120,40,120,"1,944","1,399",153,"1,120"
,14571,,345,230,55,25,15,20,438,321,29,240
,14591,,365,255,45,25,15,25,470,350,36,265
,14592,,80,55,10,5,5,5,103,80,5,60
,14836,,250,175,30,15,10,20,295,227,14,175
,14846,,175,105,40,10,5,15,196,132,9,110
Binghamton,,,"68,620","45,655","11,070","4,305","2,325","5,265","83,909","61,674","5,493","48,415"
,13124,,30,15,5,5,5,0,27,17,4,25
,13136,,115,75,15,10,5,10,126,91,14,80
,13155,,130,90,20,5,5,10,140,106,7,85
,13411,,890,580,150,60,25,75,973,697,63,620
,13460,,"1,095",740,185,65,30,75,"1,276",954,73,775
,13464,,275,180,50,10,10,25,295,220,11,190
,13730,,785,525,130,55,30,45,955,696,61,565
,13732,,"1,795","1,285",215,120,85,90,"2,421","1,864",176,"1,385"
,13733,,"1,350",900,210,70,60,110,"1,607","1,180",80,960
,13736,,530,385,70,30,25,20,648,503,37,395
,13737,,15,10,5,0,0,0,18,15,0,10
,13743,,855,575,135,60,30,55,"1,032",744,72,595
,13744,,245,175,35,10,5,20,299,231,13,165
,13745,,75,50,20,5,0,0,102,71,6,50
,13746,,720,520,105,35,30,30,896,693,46,530
,13748,,990,675,165,55,30,65,"1,249",924,74,695
,13749,,35,25,10,0,0,0,45,33,0,25
,13754,,900,560,160,75,35,70,"1,050",722,91,620
,13760,,"10,690","7,520","1,445",700,395,630,"13,655","10,463",964,"8,035"
,13761,,95,55,30,5,0,5,116,72,6,55
,13762,,15,5,5,0,5,0,20,13,0,5
,13763,,30,25,5,0,0,0,41,32,0,20
,13777,,200,130,40,5,5,20,221,164,8,130
,13778,,"1,450","1,035",195,85,50,85,"1,777","1,377",105,"1,085"
,13780,,260,185,35,10,10,20,323,247,13,180
,13787,,940,585,190,50,25,90,"1,088",761,53,590
