ID,applyposition,Base,Annual,signing,expected,skillset,location
357,"APPLY NOW   Senior Data Scientist or Researcher at Inspur in Bellevue, WA","Base Salary$111K","Annual Bonus$0","Signing Bonus$17K","EXPECTED   $111K","You can learn valuable new skills like: Hadoop, Technical Leadership, Big Data, Machine Learning, Scala, Deep Learning and more.","Jobs in Bellevue, WA"
358,"APPLY NOW   Senior Data Scientist -... at Unitedhealth Group in Boston, MA","Base Salary$115K","Annual Bonus$0","Signing Bonus$12K","EXPECTED   $115K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, Scala, Deep Learning, Data Science and more.","Jobs in Boston, MA"
359,"APPLY NOW   Sr Data Scientist at Aetna in Wellesley, MA","Base Salary$112K","Annual Bonus$0","Signing Bonus$14K","EXPECTED   $112K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, Data Science, Analytics, and Statistics.","Jobs in Wellesley, MA"
360,"APPLY NOW   Data Scientist at Momentum in Bellevue, WA","Base Salary$95K","Annual Bonus$0","Signing Bonus$14K","EXPECTED   $95K","You can learn valuable new skills like: Machine Learning, Data Science, and Statistics.","Jobs in Bellevue, WA"
361,"APPLY NOW   Chief Data Scientist at Booz Allen Hamilton in McLean, VA","Base Salary$169K","Annual Bonus$19K","Signing Bonus$10K","EXPECTED   $188K","You can learn valuable new skills like: Data Mining, Algorithms, Machine Learning, Management, Data Science, Strategy and more.","Jobs in McLean, VA"
362,"APPLY NOW   Principal Scientist, Data Science, Sequencing at Roche in Santa Clara, CA","Base Salary$148K","Annual Bonus$23K","Signing Bonus$14K","EXPECTED   $171K","You can learn valuable new skills like: Algorithms, Machine Learning, C++, Matlab, Data Science, Analytics and more.","Jobs in Santa Clara, CA"
363,"APPLY NOW   Senior Manager, Data Science at GE FABBRI in San Ramon, CA","Base Salary$155K","Annual Bonus$18K","Signing Bonus$12K","EXPECTED   $172K","You can learn valuable new skills like: Hadoop, Technical Leadership, Big Data, Algorithms, Architectures, Machine Learning and more.","Jobs in San Ramon, CA"
364,"APPLY NOW   Data Science Manager at Nordstrom in Seattle, WA","Base Salary$101K","Annual Bonus$20K","Signing Bonus$17K","EXPECTED   $153K","You can learn valuable new skills like: Optimization, Algorithms, AWS, Python, Data Science, Analytics and more.","Jobs in Seattle, WA"
365,"APPLY NOW   Senior Manager- Data Science (Digital) at Capital One in New York, NY","Base Salary$144K","Annual Bonus$14K","Signing Bonus$11K","EXPECTED   $158K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, AWS, Relational Databases, Scala and more.","Jobs in New York, NY"
366,"APPLY NOW   Senior Software Engineer - Data Infrastructure at Ticketfly in San Francisco, CA","Base Salary$140K","Annual Bonus$0","Signing Bonus$19K","EXPECTED   $140K","You can learn valuable new skills like: Information Retrieval, Scala, Java, Test Driven Development, and Search.","Jobs in San Francisco, CA"
367,"APPLY NOW   Senior Data Scientist at Celgene in Seattle, WA","Base Salary$121K","Annual Bonus$16K","Signing Bonus$16K","EXPECTED   $138K","You can learn valuable new skills like: PHP, C++, Management, Windows, LAMP, Data Science and more.","Jobs in Seattle, WA"
368,"APPLY NOW   Senior Data Scientist at Celgene in Seattle, WA","Base Salary$121K","Annual Bonus$16K","Signing Bonus$16K","EXPECTED   $138K","You can learn valuable new skills like: PHP, C++, Management, Windows, LAMP, Data Science and more.","Jobs in Seattle, WA"
369,"APPLY NOW   NLP PRINCIPAL DATA SCIENTIST, WORLD-CLASS CONSULTANCY ROLE at Harnham in Boston, MA","Base Salary$132K","Annual Bonus$0","Signing Bonus$8K","EXPECTED   $132K","You can learn valuable new skills like: Hadoop, Machine Learning, Matlab, Data Science, Analytics, Statistics and more.","Jobs in Boston, MA"
370,"APPLY NOW   Data Science Analyst at Adobe in San Jose, CA","Base Salary$109K","Annual Bonus$16K","Signing Bonus$15K","EXPECTED   $125K","You can learn valuable new skills like: Hadoop, Big Data, Algorithms, MapReduce, Machine Learning, Relational Databases and more.","Jobs in San Jose, CA"
371,"APPLY NOW Chief Data Scientist - Consulting at Harnham in New York, NY","Base Salary$164K","Annual Bonus$19K","Signing Bonus$8K","EXPECTED $183K","You can learn valuable new skills like: Data Mining, Algorithms, Management, Data Science, Analytics, and Statistics.","Jobs in New York, NY"
372,"APPLY NOW Sr. Data Scientist, CORA at Biogen Idec in Cambridge, MA","Base Salary$118K","Annual Bonus$17K","Signing Bonus$14K","EXPECTED $153K","You can learn valuable new skills like: Relational Databases, Data Science, SQL, Analytics, Databases, and Statistics.","Jobs in Cambridge, MA"
373,"APPLY NOW Sr. Data Scientist, CORA at Biogen Idec in Cambridge, MA","Base Salary$118K","Annual Bonus$17K","Signing Bonus$14K","EXPECTED $153K","You can learn valuable new skills like: Relational Databases, Data Science, SQL, Analytics, Databases, and Statistics.","Jobs in Cambridge, MA"
374,"APPLY NOW Commissions Data Analyst - local Bay Area candidates only at Imperva in Redwood City, CA","Base Salary$100K","Annual Bonus$20K","Signing Bonus$17K","EXPECTED $140K","You can learn valuable new skills like: Management, SQL, Analytics, C, and Leadership.","Jobs in Redwood City, CA"
375,"APPLY NOW Manager, Data Scientist at Pfizer in Cambridge, MA","Base Salary$129K","Annual Bonus$14K","Signing Bonus$13K","EXPECTED $143K","You can learn valuable new skills like: Hadoop, Algorithms, Architectures, MapReduce, Scala, Data Science and more.","Jobs in Cambridge, MA"
376,"APPLY NOW Manager, Data Scientist at Pfizer in Cambridge, MA","Base Salary$129K","Annual Bonus$14K","Signing Bonus$13K","EXPECTED $143K","You can learn valuable new skills like: Hadoop, Algorithms, Architectures, MapReduce, Scala, Data Science and more.","Jobs in Cambridge, MA"
377,"APPLY NOW Data Scientist at Rapid7 in Boston, MA","Base Salary$109K","Annual Bonus$11K","Signing Bonus$15K","EXPECTED $137K","You can learn valuable new skills like: Data Mining, Big Data, Algorithms, MapReduce, Machine Learning, Python and more.","Jobs in Boston, MA"
378,"APPLY NOW Data Analyst, Metrology at Tesla Motors in Fremont, CA","Base Salary$105K","Annual Bonus$14K","Signing Bonus$22K","EXPECTED $119K","You can learn valuable new skills like: Data Mining, Architectures, Management, Analytics, Statistics, and Business Intelligence.","Jobs in Fremont, CA"
379,"APPLY NOW Senior Data Scientist at Verizon in Basking Ridge, NJ","Base Salary$119K","Annual Bonus$0","Signing Bonus$19K","EXPECTED $119K","You can learn valuable new skills like: Hadoop, Optimization, Machine Learning, C++, Matlab, Data Science and more.","Jobs in Basking Ridge, NJ"
380,"APPLY NOW Senior Data Scientist at Verizon in Piscataway, NJ","Base Salary$118K","Annual Bonus$0","Signing Bonus$19K","EXPECTED $118K","You can learn valuable new skills like: Optimization, Machine Learning, Scala, Deep Learning, Data Science, Analytics and more.","Jobs in Piscataway, NJ"
381,"APPLY NOW   Sr Staff Data Scientist at GE in Boston, MA","Base Salary$131K","Annual Bonus$13K","Signing Bonus$10K","EXPECTED   $145K","You can learn valuable new skills like: Optimization, Algorithms, Machine Learning, Data Science, Analytics, Statistics and more.","Jobs in Boston, MA"
382,"APPLY NOW   Sr Staff Data Scientist at GE in Boston, MA","Base Salary$131K","Annual Bonus$13K","Signing Bonus$10K","EXPECTED   $145K","You can learn valuable new skills like: Optimization, Algorithms, Machine Learning, Data Science, Analytics, Statistics and more.","Jobs in Boston, MA"
383,"APPLY NOW   Sr Data Scientist at Wells Fargo in San Francisco, CA","Base Salary$114K","Annual Bonus$16K","Signing Bonus$12K","EXPECTED   $130K","You can learn valuable new skills like: Hadoop, Algorithms, Machine Learning, Management, Data Science, Strategy and more.","Jobs in San Francisco, CA"
384,"APPLY NOW   Sr Data Scientist at Wells Fargo in Concord, CA","Base Salary$114K","Annual Bonus$16K","Signing Bonus$12K","EXPECTED   $130K","You can learn valuable new skills like: Hadoop, Algorithms, Machine Learning, Management, Data Science, Strategy and more.","Jobs in Concord, CA"
385,"APPLY NOW   Senior Modeling Analyst / Data Scientist at Nomis Solutions in San Bruno, CA","Base Salary$112K","Annual Bonus$0","Signing Bonus$19K","EXPECTED   $112K","You can learn valuable new skills like: Hadoop, Big Data, Data Science, Analytics, and Statistics.","Jobs in San Bruno, CA"
386,"APPLY NOW   Senior Modeling Analyst / Data Scientist at Nomis Solutions in San Bruno, CA","Base Salary$112K","Annual Bonus$0","Signing Bonus$19K","EXPECTED   $112K","You can learn valuable new skills like: Hadoop, Big Data, Data Science, Analytics, and Statistics.","Jobs in San Bruno, CA"
387,"APPLY NOW   Data Scientist at TiVo in Boston, MA","Base Salary$115K","Annual Bonus$0","Signing Bonus$13K","EXPECTED   $116K","You can learn valuable new skills like: Hadoop, Optimization, Big Data, Machine Learning, Data Science, Analytics and more.","Jobs in Boston, MA"
388,"APPLY NOW   Statistician/Data Scientist - Multiple Levels at OGSystems in Springfield, VA","Base Salary$107K","Annual Bonus$0","Signing Bonus$5K","EXPECTED   $124K","You can learn valuable new skills like: Data Mining, Algorithms, Windows, Python, Matlab, Apache Spark and more.","Jobs in Springfield, VA"
389,"APPLY NOW   Statistician/Data Scientist - Multiple Levels at OGSystems in Springfield, VA","Base Salary$107K","Annual Bonus$0","Signing Bonus$5K","EXPECTED   $124K","You can learn valuable new skills like: Data Mining, Algorithms, Windows, Python, Matlab, Apache Spark and more.","Jobs in Springfield, VA"
390,"APPLY NOW   Senior Data Scientist at Propeller Health in San Francisco, CA","Base Salary$102K","Annual Bonus$0","Signing Bonus$11K","EXPECTED   $102K","You can learn valuable new skills like: Optimization, Machine Learning, Data Science, and Statistics.","Jobs in San Francisco, CA"
