ID,applyposition,Base,Annual,signing,expected,skillset,location
281,"APPLY NOW   Chief Data Scientist at Booz Allen Hamilton in McLean, VA","Base Salary$169K","Annual Bonus$19K","Signing Bonus$10K","EXPECTED   $188K","You can learn valuable new skills like: Data Mining, Optimization, Management, Data Science, Strategy, Analytics and more.","Jobs in McLean, VA"
282,"APPLY NOW   Sr. Manager, Data Scientist, REQ 1048390 at Pfizer in Cambridge, MA","Base Salary$142K","Annual Bonus$14K","Signing Bonus$13K","EXPECTED   $157K","You can learn valuable new skills like: Algorithms, Machine Learning, Data Science, Strategy, Analytics, Signal Processing and more.","Jobs in Cambridge, MA"
283,"APPLY NOW   Data Scientist at Intel Corporation in Santa Clara, CA","Base Salary$113K","Annual Bonus$18K","Signing Bonus$15K","EXPECTED   $148K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, Machine Learning and more.","Jobs in Santa Clara, CA"
284,"APPLY NOW   Data Scientist at Chegg in Santa Clara, CA","Base Salary$121K","Annual Bonus$0","Signing Bonus$19K","EXPECTED   $143K","You can learn valuable new skills like: Python, Data Science, SQL, Analytics, Natural Language Processing, Recommender Systems and more.","Jobs in Santa Clara, CA"
285,"APPLY NOW   Data Scientist at Chegg in Santa Clara, CA","Base Salary$121K","Annual Bonus$0","Signing Bonus$19K","EXPECTED   $143K","You can learn valuable new skills like: Python, Data Science, SQL, Analytics, Natural Language Processing, Recommender Systems and more.","Jobs in Santa Clara, CA"
286,"APPLY NOW   Data Scientist 4 at Oracle in Seattle, WA","Base Salary$114K","Annual Bonus$17K","Signing Bonus$15K","EXPECTED   $147K","You can learn valuable new skills like: Product Management, Technical Leadership, Data Mining, Big Data, Algorithms, Machine Learning and more.","Jobs in Seattle, WA"
287,"APPLY NOW   Data Scientist 4 at Oracle in Seattle, WA","Base Salary$114K","Annual Bonus$17K","Signing Bonus$15K","EXPECTED   $147K","You can learn valuable new skills like: Product Management, Technical Leadership, Data Mining, Big Data, Algorithms, Machine Learning and more.","Jobs in Seattle, WA"
288,"APPLY NOW   Data Scientist - Saffron AI Solutions at Intel Corporation in Santa Clara, CA","Base Salary$111K","Annual Bonus$18K","Signing Bonus$15K","EXPECTED   $146K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Machine Learning, C++, Python and more.","Jobs in Santa Clara, CA"
289,"APPLY NOW   Lead Data Scientist at Honeywell in Atlanta, GA","Base Salary$144K","Annual Bonus$0","Signing Bonus$15K","EXPECTED   $144K","You can learn valuable new skills like: Hadoop, Architectures, Machine Learning, Data Science, Strategy, Analytics and more.","Jobs in Atlanta, GA"
290,"APPLY NOW   Senior Data Scientist at Oracle in Broomfield, CO","Base Salary$116K","Annual Bonus$13K","Signing Bonus$12K","EXPECTED   $142K","You can learn valuable new skills like: Product Management, Hadoop, Big Data, Algorithms, Management, Python and more.","Jobs in Broomfield, CO"
